time,place,status,tsunami,significance,data_type,magnitudo,state,longitude,latitude,depth,date
6.31164E+11,"7 km WSW of Cobb, California",reviewed,0,97,earthquake,2.51, California,-122.8056667,38.7998333,1.368,1990-01-01 03:27:39.630000+00:00
6.31165E+11,"7 km WSW of Cobb, California",reviewed,0,22,earthquake,1.2, California,-122.805,38.8023333,1.208,1990-01-01 03:41:30.480000+00:00
6.31166E+11,"2 km NNE of Amesti, California",reviewed,0,6,earthquake,0.65, California,-121.7646667,36.9858333,15.033,1990-01-01 03:51:17.400000+00:00
6.31166E+11,"7 km WSW of Cobb, California",reviewed,0,12,earthquake,0.89, California,-122.8038333,38.7986667,1.726,1990-01-01 03:59:24.050000+00:00
6.31167E+11,"5 km ESE of Interlaken, California",reviewed,0,6,earthquake,0.62, California,-121.6743333,36.9335,4.77,1990-01-01 04:07:12.770000+00:00
6.31167E+11,"20km ENE of Coachella, CA",reviewed,0,47,earthquake,1.74,California,-115.991,33.774,2.646,1990-01-01 04:09:24.990000+00:00
6.31167E+11,"3 km NNW of Hollister, California",reviewed,0,86,earthquake,2.37, California,-121.4151667,36.882,7.535,1990-01-01 04:14:12.480000+00:00
6.31167E+11,"15km NE of Thermal, CA",reviewed,0,63,earthquake,2.03,California,-116.022,33.735,8.186,1990-01-01 04:14:14.570000+00:00
6.31167E+11,"1 km W of Interlaken, California",reviewed,0,1,earthquake,0.31, California,-121.7471667,36.9498333,10.554,1990-01-01 04:15:32.390000+00:00
6.31168E+11,"4 km WNW of Farmers Loop, Alaska",reviewed,0,10,earthquake,0.8, Alaska,-147.78,64.9185,14.4,1990-01-01 04:27:21.160000+00:00
6.31169E+11,"11 km E of Mammoth Lakes, California",reviewed,0,10,earthquake,0.81, California,-118.8398333,37.6623333,-0.074,1990-01-01 04:45:47.550000+00:00
6.31169E+11,"9 km NNW of Hana, Hawaii",reviewed,0,94,earthquake,2.47, Hawaii,-156.0226667,20.8378333,6.016,1990-01-01 04:51:31.240000+00:00
6.3117E+11,"4 km SW of Volcano, Hawaii",reviewed,0,50,earthquake,1.81, Hawaii,-155.2615,19.4156667,10.805,1990-01-01 04:58:16.740000+00:00
6.3117E+11,"3 km NNW of Interlaken, California",reviewed,0,14,earthquake,0.95, California,-121.743,36.9835,15.131,1990-01-01 04:58:28.350000+00:00
6.31171E+11,"36 km SE of Fox River, Alaska",reviewed,0,68,earthquake,2.1, Alaska,-150.4977,59.6275,13.4,1990-01-01 05:10:15.200000+00:00
6.31171E+11,"45 km SSW of Tatitlek, Alaska",reviewed,0,62,earthquake,2, Alaska,-147.0002,60.4858,14.4,1990-01-01 05:12:36.470000+00:00
6.31171E+11,"12 km WNW of Petersville, Alaska",reviewed,0,62,earthquake,2, Alaska,-150.9963,62.5218,72.8,1990-01-01 05:15:19.480000+00:00
6.31171E+11,"21km SSE of Solvang, CA",reviewed,0,73,earthquake,2.18,California,-120.093,34.413,2.625,1990-01-01 05:17:29.460000+00:00
6.31172E+11,"8km NE of Borrego Springs, CA",reviewed,0,7,earthquake,0.67,California,-116.313,33.305,8.873,1990-01-01 05:35:30.740000+00:00
6.31173E+11,"12 km SSE of Volcano, Hawaii",reviewed,0,80,earthquake,2.28, Hawaii,-155.1956667,19.3333333,6.643,1990-01-01 05:42:55.180000+00:00
6.31173E+11,"5 km WSW of Mammoth Lakes, California",reviewed,0,14,earthquake,0.95, California,-119.0296667,37.6265,2.253,1990-01-01 05:57:11.620000+00:00
6.31173E+11,"5 km WSW of Mammoth Lakes, California",reviewed,0,5,earthquake,0.59, California,-119.0275,37.6306667,1.553,1990-01-01 05:57:24.190000+00:00
6.31173E+11,"5 km WSW of Mammoth Lakes, California",reviewed,0,11,earthquake,0.83, California,-119.0295,37.6285,2.203,1990-01-01 05:57:38.520000+00:00
6.31174E+11,"6 km ENE of Mesa, California",reviewed,0,20,earthquake,1.14, California,-118.4736667,37.4301667,8.745,1990-01-01 06:05:31.480000+00:00
6.31175E+11,"11 km E of Mammoth Lakes, California",reviewed,0,58,earthquake,1.94, California,-118.844,37.6681667,1.01,1990-01-01 06:21:46.310000+00:00
6.31175E+11,"11 km E of Mammoth Lakes, California",reviewed,0,14,earthquake,0.97, California,-118.8445,37.663,-0.114,1990-01-01 06:26:02.660000+00:00
6.31176E+11,"17 km SW of Shëngjin, Albania",reviewed,0,168,earthquake,3.3, Albania,19.431,41.714,10,1990-01-01 06:34:04+00:00
6.31176E+11,"22km W of Johannesburg, CA",reviewed,0,43,earthquake,1.68,California,-117.874,35.365,2.538,1990-01-01 06:47:05.930000+00:00
6.31177E+11,"7 km WSW of Mammoth Lakes, California",reviewed,0,4,earthquake,0.52, California,-119.0515,37.6263333,4.161,1990-01-01 06:50:29.110000+00:00
6.31177E+11,"11 km NNW of Henefer, Utah",reviewed,0,67,earthquake,2.08, Utah,-111.5635,41.1045,9.78,1990-01-01 06:57:05.870000+00:00
6.31178E+11,"5 km SW of Gilroy, California",reviewed,0,8,earthquake,0.7, California,-121.6115,36.9703333,3.595,1990-01-01 07:18:02.300000+00:00
6.31179E+11,"21km NE of Olancha, CA",reviewed,0,42,earthquake,1.66,California,-117.843,36.419,4.447,1990-01-01 07:28:39.340000+00:00
6.3118E+11,"11 km E of Mammoth Lakes, California",reviewed,0,19,earthquake,1.11, California,-118.8461667,37.664,-0.604,1990-01-01 07:48:20.200000+00:00
6.3118E+11,Fiji region,reviewed,0,449,earthquake,5.4,Fiji region,-179.361,-21.772,599.5,1990-01-01 07:49:35.570000+00:00
6.31181E+11,"4 km SW of Volcano, Hawaii",reviewed,0,47,earthquake,1.75, Hawaii,-155.2658333,19.4188333,8.965,1990-01-01 07:56:01+00:00
6.31181E+11,"5 km W of Cobb, California",reviewed,0,12,earthquake,0.89, California,-122.7918333,38.8191667,1.82,1990-01-01 07:56:09.140000+00:00
6.31181E+11,"8 km N of Day Valley, California",reviewed,0,45,earthquake,1.71, California,-121.8716667,37.1158333,2.527,1990-01-01 08:05:20.700000+00:00
6.31181E+11,"6 km WSW of Mammoth Lakes, California",reviewed,0,6,earthquake,0.6, California,-119.0456667,37.6291667,2.283,1990-01-01 08:06:42.570000+00:00
6.31181E+11,"28km NW of Searles Valley, CA",reviewed,0,18,earthquake,1.09,California,-117.592,35.97,5.074,1990-01-01 08:07:13.990000+00:00
6.31181E+11,"26km NNE of Kernville, CA",reviewed,0,105,earthquake,2.61,California,-118.357,35.983,4.231,1990-01-01 08:08:02.500000+00:00
6.31183E+11,"9 km W of Cobb, California",reviewed,0,9,earthquake,0.76, California,-122.8301667,38.8348333,1.434,1990-01-01 08:31:01.160000+00:00
6.31183E+11,"2 km SSW of Lexington Hills, California",reviewed,0,34,earthquake,1.48, California,-121.9853333,37.1401667,11.853,1990-01-01 08:32:25.530000+00:00
6.31184E+11,"3km NNE of Lamont, CA",reviewed,0,43,earthquake,1.67,California,-118.9,35.286,19.179,1990-01-01 08:46:19.250000+00:00
6.31184E+11,"8 km ENE of San Martin, California",reviewed,0,14,earthquake,0.96, California,-121.5236667,37.126,8.317,1990-01-01 09:01:37.360000+00:00
6.31185E+11,"3 km NE of Hitachi-Naka, Japan",reviewed,0,354,earthquake,4.8, Japan,140.568,36.417,67.9,1990-01-01 09:03:12.880000+00:00
6.31185E+11,"12km NE of Julian, CA",reviewed,0,10,earthquake,0.82,California,-116.499,33.151,7.601,1990-01-01 09:05:19.270000+00:00
6.31185E+11,"22 km ESE of Klamath, California",reviewed,0,42,earthquake,1.65, California,-123.8125,41.4235,3.744,1990-01-01 09:05:27.430000+00:00
6.31185E+11,"2 km NE of Corralitos, California",reviewed,0,17,earthquake,1.05, California,-121.7826667,37.0045,14.995,1990-01-01 09:13:03.880000+00:00
6.31185E+11,"3 km ENE of Big Sur, California",reviewed,0,57,earthquake,1.92, California,-121.7746667,36.2815,13.102,1990-01-01 09:16:52.870000+00:00
6.31187E+11,south of the Fiji Islands,reviewed,0,354,earthquake,4.8,south of the Fiji Islands,-179.922,-23.616,540.8,1990-01-01 09:38:15.390000+00:00
6.31187E+11,"5 km ENE of Day Valley, California",reviewed,0,17,earthquake,1.04, California,-121.8085,37.0615,11.726,1990-01-01 09:44:30.600000+00:00
6.31189E+11,"1 km SSW of Volcano, Hawaii",reviewed,0,35,earthquake,1.5, Hawaii,-155.2398333,19.4276667,0.207,1990-01-01 10:11:51.920000+00:00
6.3119E+11,"125 km SW of Charlestown, Saint Kitts and Nevis",reviewed,0,199,earthquake,3.6, Saint Kitts and Nevis,-63.417,16.302,33,1990-01-01 10:33:44.050000+00:00
6.31192E+11,"2 km NE of Monte Sereno, California",reviewed,0,29,earthquake,1.37, California,-121.9753333,37.2551667,3.628,1990-01-01 11:03:27.150000+00:00
6.31192E+11,"2 km NE of Corralitos, California",reviewed,0,18,earthquake,1.07, California,-121.7828333,37.0026667,15.495,1990-01-01 11:09:46.440000+00:00
6.31192E+11,"41 km WNW of Ninilchik, Alaska",reviewed,0,62,earthquake,2, Alaska,-152.3117,60.247,84,1990-01-01 11:12:43.640000+00:00
6.31196E+11,"24 km NE of Greenfield, California",reviewed,0,35,earthquake,1.5, California,-121.0531667,36.4771667,4.742,1990-01-01 12:11:42.080000+00:00
6.31197E+11,"48 km WNW of Ninilchik, Alaska",reviewed,0,44,earthquake,1.7, Alaska,-152.465,60.234,80.5,1990-01-01 12:31:33.070000+00:00
6.31198E+11,"6 km W of Cobb, California",reviewed,0,12,earthquake,0.87, California,-122.796,38.812,1.51,1990-01-01 12:50:22.270000+00:00
6.312E+11,"1 km NNE of Corralitos, California",reviewed,0,114,earthquake,2.72, California,-121.7996667,37.001,15.404,1990-01-01 13:22:47.540000+00:00
6.31201E+11,"29 km SW of South Dos Palos, California",reviewed,0,27,earthquake,1.32, California,-120.8871667,36.772,0.254,1990-01-01 13:42:33.970000+00:00
6.31202E+11,"9 km WNW of Cobb, California",reviewed,0,5,earthquake,0.56, California,-122.8298333,38.8418333,1.202,1990-01-01 13:46:32.010000+00:00
6.31202E+11,"12 km S of Tres Pinos, California",reviewed,0,31,earthquake,1.43, California,-121.3051667,36.6748333,5.778,1990-01-01 13:49:00.350000+00:00
6.31202E+11,"9km ESE of Yorba Linda, CA",reviewed,0,45,earthquake,1.71,California,-117.723,33.856,3.737,1990-01-01 13:58:31.340000+00:00
6.31203E+11,"22 km NE of Soledad, California",reviewed,0,11,earthquake,0.86, California,-121.1463333,36.5613333,3.891,1990-01-01 14:07:22.830000+00:00
6.31203E+11,"245 km S of Banjar, Indonesia",reviewed,0,340,earthquake,4.7, Indonesia,107.26,-9.412,31.9,1990-01-01 14:10:03.050000+00:00
6.31203E+11,"5 km SSE of San Juan Bautista, California",reviewed,0,75,earthquake,2.21, California,-121.5246667,36.8016667,6.748,1990-01-01 14:14:20.590000+00:00
6.31203E+11,Central California,reviewed,0,1,earthquake,0.3,Central California,-121.5303333,36.8035,6.827,1990-01-01 14:15:01.320000+00:00
6.31204E+11,"1 km NE of Corralitos, California",reviewed,0,29,earthquake,1.38, California,-121.7956667,37.0013333,15.715,1990-01-01 14:20:04.200000+00:00
6.31204E+11,"1 km NNE of Lexington Hills, California",reviewed,0,17,earthquake,1.04, California,-121.9656667,37.178,2.942,1990-01-01 14:31:57.280000+00:00
6.31205E+11,"58 km W of Kirakira, Solomon Islands",reviewed,0,416,earthquake,5.2, Solomon Islands,161.387,-10.507,36.7,1990-01-01 14:49:00.690000+00:00
6.31206E+11,"5 km ESE of Santa Rosa, California",reviewed,0,21,earthquake,1.18, California,-122.6525,38.4235,9.025,1990-01-01 15:06:25.020000+00:00
6.31207E+11,"38 km S of Morton, Washington",reviewed,0,2,earthquake,0.4, Washington,-122.1965,46.2161667,6.667,1990-01-01 15:15:32.930000+00:00
6.31207E+11,"16 km SSW of Morton, Washington",reviewed,0,12,earthquake,0.9, Washington,-122.318,46.4115,15.956,1990-01-01 15:21:48.960000+00:00
6.3121E+11,"155 km N of Likisá, Timor Leste",reviewed,0,432,earthquake,5.3, Timor Leste,125.242,-7.183,527.1,1990-01-01 16:07:27.320000+00:00
6.31211E+11,"2 km SSW of Volcano, Hawaii",reviewed,0,63,earthquake,2.03, Hawaii,-155.2411667,19.4168333,2.492,1990-01-01 16:15:43.850000+00:00
6.31211E+11,"6 km SW of Cobb, California",reviewed,0,26,earthquake,1.29, California,-122.7681667,38.781,-0.799,1990-01-01 16:17:46.070000+00:00
6.31211E+11,"38 km NNE of Amboy, Washington",reviewed,0,4,earthquake,0.5, Washington,-122.1868333,46.2006667,3.719,1990-01-01 16:18:11.590000+00:00
6.31211E+11,"37 km NNE of Amboy, Washington",reviewed,0,1,earthquake,0.2, Washington,-122.1915,46.2003333,3.327,1990-01-01 16:18:25.520000+00:00
6.31211E+11,"20km W of Progreso, B.C., MX",reviewed,0,69,earthquake,2.12, B.C.,-115.8,32.557,4.069,1990-01-01 16:19:39.610000+00:00
6.31212E+11,"5 km ENE of Arosa, Switzerland",reviewed,0,148,earthquake,3.1, Switzerland,9.738,46.801,5,1990-01-01 16:38:24.410000+00:00
6.31212E+11,"12 km ESE of East Foothills, California",reviewed,0,8,earthquake,0.72, California,-121.6986667,37.3286667,5.913,1990-01-01 16:40:20.200000+00:00
6.31212E+11,"8 km ENE of Gilroy, California",reviewed,0,14,earthquake,0.95, California,-121.4846667,37.0361667,6.89,1990-01-01 16:47:32.380000+00:00
6.31214E+11,"278 km S of Attu Station, Alaska",reviewed,0,326,earthquake,4.6, Alaska,173.77,50.37,33,1990-01-01 17:13:46.710000+00:00
6.31214E+11,"38 km NNE of Amboy, Washington",reviewed,0,1,earthquake,0.3, Washington,-122.18,46.1988333,4.779,1990-01-01 17:20:05.230000+00:00
6.31214E+11,"185 km NNE of Fayaoué, New Caledonia",reviewed,0,432,earthquake,5.3, New Caledonia,167.313,-19.151,10,1990-01-01 17:21:38.880000+00:00
6.31216E+11,"0 km WSW of Susitna, Alaska",reviewed,0,56,earthquake,1.9, Alaska,-150.5298,61.5407,47,1990-01-01 17:42:14.460000+00:00
6.31217E+11,"8 km NNW of Cepitá, Colombia",reviewed,0,432,earthquake,5.3, Colombia,-72.995,6.83,157.8,1990-01-01 18:03:19.250000+00:00
6.31218E+11,"1 km S of Coazze, Italy",reviewed,0,81,earthquake,2.3, Italy,7.302,45.037,10,1990-01-01 18:19:32.100000+00:00
6.31218E+11,"12km ENE of Coso Junction, CA",reviewed,0,28,earthquake,1.36,California,-117.821,36.072,-0.21,1990-01-01 18:24:04.440000+00:00
6.31219E+11,"7 km NNE of Day Valley, California",reviewed,0,70,earthquake,2.14, California,-121.815,37.0948333,2.254,1990-01-01 18:40:26.960000+00:00
6.3122E+11,"2 km WSW of Camerana, Italy",reviewed,0,44,earthquake,1.7, Italy,8.112,44.415,10,1990-01-01 18:46:01.200000+00:00
6.3122E+11,"35 km S of Morton, Washington",reviewed,0,12,earthquake,0.9, Washington,-122.236,46.2423333,10.197,1990-01-01 18:46:23.010000+00:00
6.31222E+11,"8 km WNW of Seward, Alaska",reviewed,0,39,earthquake,1.6, Alaska,-149.5997,60.123,16.7,1990-01-01 19:27:54.200000+00:00
6.31222E+11,"17 km NNE of Mesa, California",reviewed,0,8,earthquake,0.74, California,-118.4311667,37.5523333,5.439,1990-01-01 19:31:31.860000+00:00
6.31222E+11,"7 km ESE of Swall Meadows, California",reviewed,0,15,earthquake,0.99, California,-118.5605,37.488,7.209,1990-01-01 19:34:34.160000+00:00
6.31223E+11,"7 km ESE of Bishop, California",reviewed,0,13,earthquake,0.91, California,-118.3215,37.33,9.828,1990-01-01 19:44:14.980000+00:00
6.31223E+11,"2 km WNW of Roccavione, Italy",reviewed,0,44,earthquake,1.7, Italy,7.452,44.322,10,1990-01-01 19:50:17.150000+00:00
6.31224E+11,"38 km NNE of Amboy, Washington",reviewed,0,0,earthquake,0, Washington,-122.1796667,46.2056667,5.98,1990-01-01 19:55:08.180000+00:00
6.31224E+11,"33 km NE of Skwentna, Alaska",reviewed,0,50,earthquake,1.8, Alaska,-150.8805,62.1715,60.2,1990-01-01 19:57:13.070000+00:00
6.31224E+11,"38 km NNE of Amboy, Washington",reviewed,0,1,earthquake,0.3, Washington,-122.1806667,46.2048333,6.159,1990-01-01 19:57:22.210000+00:00
6.31224E+11,"3 km WNW of Cobb, California",reviewed,0,36,earthquake,1.54, California,-122.7621667,38.8298333,0.494,1990-01-01 20:01:25.060000+00:00
6.31225E+11,"8 km N of Geyserville, California",reviewed,0,28,earthquake,1.35, California,-122.921,38.783,2.011,1990-01-01 20:11:36.600000+00:00
6.31226E+11,"5 km SSW of Cobb, California",reviewed,0,12,earthquake,0.88, California,-122.7568333,38.7808333,1.414,1990-01-01 20:33:10.370000+00:00
6.31226E+11,"7 km NE of Wilkerson, California",reviewed,0,26,earthquake,1.29, California,-118.3221667,37.3211667,9.948,1990-01-01 20:36:03.560000+00:00
6.31226E+11,"22km NW of Grapevine, CA",reviewed,0,48,earthquake,1.76,California,-119.118,35.072,18.116,1990-01-01 20:36:18.840000+00:00
6.31227E+11,"1 km SSW of Hollister, California",reviewed,0,17,earthquake,1.05, California,-121.4106667,36.836,7.648,1990-01-01 20:47:19.930000+00:00
6.31227E+11,"4 km ESE of Interlaken, California",reviewed,0,41,earthquake,1.64, California,-121.6856667,36.9428333,11.119,1990-01-01 20:49:24.070000+00:00
6.31229E+11,"29 km NNW of H?w?, Hawaii",reviewed,0,131,earthquake,2.92, Hawaii,-155.9881667,20.4668333,24.243,1990-01-01 21:22:29.190000+00:00
6.3123E+11,"15 km SSE of Tres Pinos, California",reviewed,0,6,earthquake,0.64, California,-121.2815,36.655,2.394,1990-01-01 21:45:07.150000+00:00
6.3123E+11,"7 km E of San Martin, California",reviewed,0,9,earthquake,0.75, California,-121.5238333,37.0876667,2.57,1990-01-01 21:46:27.950000+00:00
6.31233E+11,"12 km E of Mammoth Lakes, California",reviewed,0,13,earthquake,0.93, California,-118.8368333,37.6638333,5.416,1990-01-01 22:26:11.900000+00:00
6.31234E+11,"22km W of Johannesburg, CA",reviewed,0,87,earthquake,2.38,California,-117.875,35.367,2.568,1990-01-01 22:39:57.420000+00:00
6.31234E+11,"17km SE of Bodfish, CA",reviewed,0,24,earthquake,1.26,California,-118.354,35.488,10.702,1990-01-01 22:40:27.080000+00:00
6.31234E+11,"11 km E of Mammoth Lakes, California",reviewed,0,4,earthquake,0.54, California,-118.848,37.6653333,2.756,1990-01-01 22:45:47.310000+00:00
6.31234E+11,"12 km SE of Mammoth Lakes, California",reviewed,0,15,earthquake,0.98, California,-118.8695,37.5766667,1.2,1990-01-01 22:48:52.380000+00:00
6.31235E+11,"21km W of Progreso, B.C., MX",reviewed,0,169,earthquake,3.31, B.C.,-115.805,32.561,3.959,1990-01-01 22:59:43.360000+00:00
6.31235E+11,"21km W of Progreso, B.C., MX",reviewed,0,95,earthquake,2.48, B.C.,-115.803,32.546,3.819,1990-01-01 23:00:49.270000+00:00
6.31235E+11,"21km W of Progreso, B.C., MX",reviewed,0,116,earthquake,2.74, B.C.,-115.807,32.549,3.559,1990-01-01 23:03:42.150000+00:00
6.31236E+11,"23 km S of Hawthorne, Nevada",reviewed,0,148,earthquake,3.1, Nevada,-118.67,38.313,11,1990-01-01 23:17:18.100000+00:00
6.31236E+11,"7 km NE of Day Valley, California",reviewed,0,7,earthquake,0.67, California,-121.815,37.0925,1.284,1990-01-01 23:18:27+00:00
6.31236E+11,"14 km S of Volcano, Hawaii",reviewed,0,31,earthquake,1.42, Hawaii,-155.2148333,19.3161667,7.065,1990-01-01 23:23:10.840000+00:00
6.31236E+11,"9 km NNW of Entiat, Washington",reviewed,0,89,earthquake,2.4, Washington,-120.2678333,47.7491667,1.639,1990-01-01 23:27:02.120000+00:00
6.31237E+11,"119 km WSW of Adak, Alaska",reviewed,0,298,earthquake,4.4, Alaska,-178.298,51.571,33,1990-01-01 23:29:53.730000+00:00
6.31237E+11,"21km W of Progreso, B.C., MX",reviewed,0,110,earthquake,2.68, B.C.,-115.805,32.557,3.649,1990-01-01 23:38:42.170000+00:00
6.31239E+11,"5 km SSW of Campomolino, Italy",reviewed,0,39,earthquake,1.6, Italy,7.173,44.366,10,1990-01-02 00:15:03.150000+00:00
6.31239E+11,"34 km SE of Mammoth, Wyoming",reviewed,0,58,earthquake,1.95, Wyoming,-110.3915,44.7603333,4.88,1990-01-02 00:15:33.280000+00:00
6.31239E+11,"14km S of Santa Barbara, CA",reviewed,0,59,earthquake,1.96,California,-119.723,34.294,0.181,1990-01-02 00:15:34.880000+00:00
6.3124E+11,"5 km E of Mammoth Lakes, California",reviewed,0,12,earthquake,0.88, California,-118.9141667,37.6425,5.454,1990-01-02 00:32:13.230000+00:00
6.31241E+11,"22 km NE of King City, California",reviewed,0,15,earthquake,0.98, California,-120.9328333,36.3486667,4.813,1990-01-02 00:49:51.300000+00:00
6.31242E+11,"5 km WSW of Cobb, California",reviewed,0,19,earthquake,1.11, California,-122.7806667,38.804,0.633,1990-01-02 00:55:50.760000+00:00
6.31243E+11,"14 km SSE of Volcano, Hawaii",reviewed,0,31,earthquake,1.42, Hawaii,-155.193,19.3173333,4.873,1990-01-02 01:17:52.630000+00:00
6.31244E+11,Philippine Islands region,reviewed,0,482,earthquake,5.6,Philippine Islands region,127.441,8.344,40.9,1990-01-02 01:25:06.560000+00:00
6.31245E+11,"9 km WNW of Cobb, California",reviewed,0,13,earthquake,0.91, California,-122.8256667,38.8418333,1.782,1990-01-02 01:53:54.560000+00:00
6.31246E+11,"21km W of Progreso, B.C., MX",reviewed,0,87,earthquake,2.38, B.C.,-115.806,32.547,4.209,1990-01-02 02:07:21.660000+00:00
6.31247E+11,"19km NNW of Joshua Tree, CA",reviewed,0,81,earthquake,2.3,California,-116.381,34.3,5.468,1990-01-02 02:15:46.980000+00:00
6.31247E+11,southern Mid-Atlantic Ridge,reviewed,0,340,earthquake,4.7,southern Mid-Atlantic Ridge,-13.126,-21.771,10,1990-01-02 02:19:21.420000+00:00
6.31247E+11,"208 km SW of Kupang, Indonesia",reviewed,0,259,earthquake,4.1, Indonesia,122.498,-11.701,33,1990-01-02 02:27:11.270000+00:00
6.31248E+11,"8 km W of Cobb, California",reviewed,0,13,earthquake,0.93, California,-122.8255,38.8281667,0.266,1990-01-02 02:38:22.640000+00:00
6.31248E+11,"8 km W of Cobb, California",reviewed,0,13,earthquake,0.91, California,-122.8235,38.8313333,-0.098,1990-01-02 02:39:15.370000+00:00
6.31249E+11,"6 km WNW of Cobb, California",reviewed,0,21,earthquake,1.16, California,-122.8005,38.835,-0.35,1990-01-02 02:51:48.060000+00:00
6.3125E+11,"10 km S of Tres Pinos, California",reviewed,0,101,earthquake,2.56, California,-121.3221667,36.692,3.958,1990-01-02 03:10:07.670000+00:00
6.31253E+11,"9 km W of Cobb, California",reviewed,0,23,earthquake,1.23, California,-122.83,38.8375,0.93,1990-01-02 04:05:48.060000+00:00
6.31253E+11,"4 km N of Pontechianale, Italy",reviewed,0,39,earthquake,1.6, Italy,7.034,44.66,10,1990-01-02 04:10:22.600000+00:00
6.31254E+11,"14 km S of Fern Forest, Hawaii",reviewed,0,129,earthquake,2.9, Hawaii,-155.1101667,19.335,6.546,1990-01-02 04:13:34.230000+00:00
6.31255E+11,"188 km SW of Lorengau, Papua New Guinea",reviewed,0,326,earthquake,4.6, Papua New Guinea,146.32,-3.446,33,1990-01-02 04:33:54.670000+00:00
6.31255E+11,"78 km NW of Ninilchik, Alaska",reviewed,0,56,earthquake,1.9, Alaska,-152.752,60.5087,3.6,1990-01-02 04:34:55.960000+00:00
6.31255E+11,"18 km SSE of Tres Pinos, California",reviewed,0,4,earthquake,0.53, California,-121.248,36.6323333,4.293,1990-01-02 04:44:20.880000+00:00
6.31256E+11,"2 km NE of Lexington Hills, California",reviewed,0,20,earthquake,1.13, California,-121.9531667,37.184,5.112,1990-01-02 04:55:43.520000+00:00
6.31257E+11,"11 km NE of Ridgeway, Alaska",reviewed,0,68,earthquake,2.1, Alaska,-150.961,60.616,40.8,1990-01-02 05:05:47.570000+00:00
